timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,stage,trajectory_type,controller_mode,ff_gain,position_error_xy,position_error_3d
1782795984153751,2,14,0.986236,0.32371768,-1.9659467,0.043933522,-0.27133623,-0.013427389,0.9851178181377942,0.2709159686432803,-2.0,0.026998915800966493,-0.2364775389179981,0.0,tracking,figure8,planar_ff,1.0,0.052813565434622525,0.06284028787290574
1782795984203327,2,14,0.9883217,0.31130278,-1.9662545,0.043018892,-0.27308756,-0.013716015,0.9864264257844648,0.2591600373459999,-2.0,0.025793081475348294,-0.23777437724333061,0.0,tracking,figure8,planar_ff,1.0,0.05217717205931924,0.06213869776193912
1782795984253868,2,14,0.99039024,0.29867274,-1.9665215,0.04200968,-0.27479944,-0.014058357,0.9876989327377262,0.24711053788162576,-2.0,0.024562161122118033,-0.23903709051960198,0.0,tracking,figure8,planar_ff,1.0,0.05163239632806892,0.06153628427104464
1782795984303334,2,14,0.9926722,0.283695,-1.9668851,0.040720508,-0.27674252,-0.014445147,0.9888841042844169,0.23525688855043136,-2.0,0.023355912916586386,-0.24021460467261066,0.0,tracking,figure8,planar_ff,1.0,0.04858601628180749,0.058797945416053786
1782795984353485,2,14,0.99444836,0.27070543,-1.9672589,0.039337005,-0.2782674,-0.014899245,0.9900247176020758,0.2231813268856677,-2.0,0.022131543930686785,-0.24134918194068739,0.0,tracking,figure8,planar_ff,1.0,0.04772954584689429,0.057879937877241695
1782795984403602,2,14,0.99611634,0.25771424,-1.9676888,0.037915803,-0.27956104,-0.0151411705,0.9911032000292633,0.2110584086774744,-2.0,0.020906612769989806,-0.24242316009237688,0.0,tracking,figure8,planar_ff,1.0,0.04692439119634292,0.056972908118197677
1782795984453349,2,14,0.9977051,0.24474405,-1.9681971,0.03621491,-0.28052577,-0.015265941,0.992112973561359,0.19897327198751036,-2.0,0.01968944648299504,-0.24342977624220496,0.0,tracking,figure8,planar_ff,1.0,0.04611112642888389,0.056014819289043186
1782795984503336,2,14,0.9992598,0.22963375,-1.9687731,0.03406073,-0.28146335,-0.015265567,0.9930666008096704,0.1867808583475101,-2.0,0.018465194452256226,-0.2443813628147028,0.0,tracking,figure8,planar_ff,1.0,0.043298110606401645,0.05338393064888532
1782795984553323,2,14,1.0004789,0.21664421,-1.9692447,0.032182112,-0.28214598,-0.0152535625,0.9939589891371063,0.17454257050162345,-2.0,0.01723982274480632,-0.2452726695668965,0.0,tracking,figure8,planar_ff,1.0,0.04260347769722483,0.05254468311677692
1782795984603386,2,14,1.0016663,0.20365565,-1.9696348,0.030281581,-0.28263214,-0.015303337,0.9947913265677232,0.16224236672777254,-2.0,0.016011505811587536,-0.2461047197920442,0.0,tracking,figure8,planar_ff,1.0,0.04198005273606984,0.05181092560041871
