timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage,trajectory_type
1782704554081496,2,14,0.8654226,0.48576134,-1.9742651,0.07992312,-0.13253392,-0.015261702,0.9557907389146907,0.3372577085375021,-2.0,figure8,figure8
1782704554131594,2,14,0.868413,0.47843885,-1.9753935,0.07879445,-0.13418238,-0.013886174,0.9580750659901511,0.32940610681301835,-2.0,figure8,figure8
1782704554181547,2,14,0.87111926,0.47211692,-1.9763968,0.07794188,-0.13558728,-0.013080894,0.9602937374328585,0.3214958890287878,-2.0,figure8,figure8
1782704554231635,2,14,0.87410927,0.46591318,-1.9773202,0.077555045,-0.13662033,-0.012260866,0.9624590457874459,0.31348477943805525,-2.0,figure8,figure8
1782704554281582,2,14,0.87737525,0.4598035,-1.9781785,0.07739471,-0.13755028,-0.011069288,0.964558930172879,0.3054189319922484,-2.0,figure8,figure8
1782704554331520,2,14,0.88113797,0.45268947,-1.9791424,0.077291325,-0.13841301,-0.010225321,0.9665990852572788,0.2972793362953586,-2.0,figure8,figure8
1782704554381491,2,14,0.88438815,0.44650948,-1.9799297,0.07720118,-0.13926157,-0.009644607,0.9685810183868461,0.28906126470177884,-2.0,figure8,figure8
1782704554431553,2,14,0.8877238,0.44016945,-1.9806256,0.07732652,-0.1402345,-0.009188751,0.9705067469126162,0.280756685638862,-2.0,figure8,figure8
1782704554481519,2,14,0.8911688,0.43371916,-1.9812932,0.07743989,-0.14141095,-0.008316906,0.9723689592448559,0.27239870199220534,-2.0,figure8,figure8
1782704554531696,2,14,0.8953242,0.42610505,-1.9821165,0.07763791,-0.14258021,-0.0077753053,0.9741787113077299,0.2639380900063069,-2.0,figure8,figure8
1782704554581478,2,14,0.89888763,0.41951957,-1.9827821,0.07761718,-0.14365944,-0.007334322,0.9759144271099319,0.25547919604659436,-2.0,figure8,figure8
1782704554631519,2,14,0.9025076,0.41294006,-1.9833617,0.07738405,-0.1449085,-0.006787348,0.9775990471634886,0.2469132429806023,-2.0,figure8,figure8
