timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage
1782658848327611,2,14,-0.038919516,-0.000440177,-0.0024475753,-0.0071637877,0.007450598,0.00055043376,0.0,0.0,-2.0,hover
1782658848377559,2,14,-0.040382076,0.00040411612,-0.0018874258,-0.008169285,0.007854645,0.00067567616,0.0,0.0,-2.0,hover
1782658848427317,2,14,-0.041865807,0.00096434203,-0.0014654398,-0.009213539,0.007979765,0.00073415454,0.0,0.0,-2.0,hover
1782658848477353,2,14,-0.04335921,0.0012407614,-0.0011978745,-0.010356088,0.007955978,0.0006757071,0.0,0.0,-2.0,hover
1782658848527307,2,14,-0.045022245,0.0012868887,-0.0008890182,-0.011484585,0.007708463,0.00066465966,0.0,0.0,-2.0,hover
1782658848577402,2,14,-0.04629669,0.0011818692,-0.0004900247,-0.012285601,0.0072792424,0.00068645563,0.0,0.0,-2.0,hover
1782658848627386,2,14,-0.047393654,0.0010401593,0.00012607872,-0.013165723,0.006944519,0.0008510898,0.0,0.0,-2.0,hover
1782658848677374,2,14,-0.048305254,0.0009328479,0.0008469522,-0.015452454,0.008211601,0.00088891503,0.0,0.0,-2.0,hover
1782658848727515,2,14,-0.049362656,0.0012199554,0.0015652925,-0.020275358,0.02009462,-0.0041453345,0.0,0.0,-2.0,hover
1782658848777386,2,14,-0.050222293,0.002075702,0.0018379241,-0.019336922,0.030239046,-0.01429515,0.0,0.0,-2.0,hover
1782658848827304,2,14,-0.050977025,0.0033124376,0.0013667494,-0.016063072,0.03198686,-0.034180894,0.0,0.0,-2.0,hover
1782658848877352,2,14,-0.05150503,0.0046829926,-0.0004747659,-0.007575793,0.03243461,-0.07183561,0.0,0.0,-2.0,hover
1782658848927351,2,14,-0.051489502,0.0063609635,-0.005567953,0.008986952,0.032375805,-0.13569605,0.0,0.0,-2.0,hover
1782658848977462,2,14,-0.050489984,0.007883816,-0.013404906,0.028070038,0.031034445,-0.20530897,0.0,0.0,-2.0,hover
1782658849027498,2,14,-0.048255738,0.009324212,-0.025224462,0.05018867,0.028032856,-0.2867367,0.0,0.0,-2.0,hover
1782658849077271,2,14,-0.044560563,0.010564842,-0.04169403,0.07306701,0.02334876,-0.374967,0.0,0.0,-2.0,hover
1782658849127387,2,14,-0.038572967,0.011639551,-0.06658669,0.097994655,0.015846452,-0.46740234,0.0,0.0,-2.0,hover
1782658849177452,2,14,-0.03206177,0.012080007,-0.092357054,0.11697956,0.008119093,-0.5341001,0.0,0.0,-2.0,hover
1782658849227413,2,14,-0.024477897,0.011963783,-0.1214049,0.13310966,-0.00036828546,-0.5898222,0.0,0.0,-2.0,hover
1782658849277547,2,14,-0.015892636,0.011190405,-0.15329461,0.14661574,-0.009692785,-0.6357018,0.0,0.0,-2.0,hover
1782658849327369,2,14,-0.0051058047,0.009585014,-0.19319709,0.1590963,-0.020565653,-0.6886426,0.0,0.0,-2.0,hover
1782658849377764,2,14,0.0045164484,0.00750454,-0.23074685,0.16715212,-0.031207707,-0.7827778,0.0,0.0,-2.0,hover
1782658849427333,2,14,0.014418698,0.004670534,-0.27385253,0.17152494,-0.04154509,-0.9046406,0.0,0.0,-2.0,hover
1782658849477504,2,14,0.024501726,0.0009743744,-0.32249779,0.17116171,-0.049454127,-0.99186224,0.0,0.0,-2.0,hover
1782658849527443,2,14,0.036011875,-0.004170188,-0.38402468,0.16507079,-0.054530233,-1.0510213,0.0,0.0,-2.0,hover
1782658849577692,2,14,0.045323897,-0.009066145,-0.43924862,0.15573679,-0.05472193,-1.0785545,0.0,0.0,-2.0,hover
1782658849627397,2,14,0.053866673,-0.013941831,-0.49532443,0.14343567,-0.05027676,-1.0932816,0.0,0.0,-2.0,hover
1782658849677424,2,14,0.06143721,-0.018447893,-0.55157506,0.12893125,-0.041392956,-1.1000804,0.0,0.0,-2.0,hover
